Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
86 /api/rest/info/version,1,23,23,23,"0,00","0,000%","43,47826","22,55","19,32","531,0"
88 /api/rest/personalData/all,1,22,22,22,"0,00","0,000%","45,45455","43,24","22,77","974,0"
89 /api/rest/info/version,1,12,12,12,"0,00","0,000%","83,33333","37,03","41,42","455,0"
90 /api/rest/auth/logout,1,17,17,17,"0,00","0,000%","58,82353","22,46","29,18","391,0"
91 /rest/physical/person/login,1,735,735,735,"0,00","0,000%","1,36054","130,12","0,85","97930,0"
62 /api/rest/integration/competition/referee/dashboard/info,1,2783,2783,2783,"0,00","0,000%",",35932","0,19","0,19","551,0"
63 /rfs-websocket/info,1,155,155,155,"0,00","0,000%","6,45161","2,48","3,13","394,0"
64 /rfs-websocket/iframe.html,1,148,148,148,"0,00","0,000%","6,75676","5,58","4,02","845,0"
100 /ords/f,1,2304,2304,2304,"0,00","0,000%",",43403","26,18","0,68","61765,0"
78 /ords/wwv_flow.ajax,1,850,850,850,"0,00","0,000%","1,17647","7,38","1,46","6427,0"
79 /ords/wwv_flow.ajax,1,143,143,143,"0,00","0,000%","6,99301","40,61","8,71","5947,0"
80 /ords/wwv_flow.ajax,1,317,317,317,"0,00","0,000%","3,15457","10,19","3,29","3309,0"
81 /ords/wwv_flow.ajax,1,148,148,148,"0,00","0,000%","6,75676","2,05","7,21","310,0"
82 /ords/wwv_flow.ajax,1,71,71,71,"0,00","0,000%","14,08451","2,57","15,05","187,0"
88 /ords/f,1,2557,2557,2557,"0,00","0,000%",",39108","410,23","0,31","1074121,0"
93 /ords/wwv_flow.ajax,1,140,140,140,"0,00","0,000%","7,14286","2,12","7,43","304,0"
94 /ords/wwv_flow.ajax,1,168,168,168,"0,00","0,000%","5,95238","1,09","6,34","187,0"
95 /ords/wwv_flow.ajax,1,3141,3141,3141,"0,00","0,000%",",31837","0,10","0,69","311,0"
97 /ords/wwv_flow.ajax,1,148,148,148,"0,00","0,000%","6,75676","88,72","7,40","13445,0"
103 /ords/wwv_flow.ajax,1,481,481,481,"0,00","0,000%","2,07900","0,63","2,55","308,0"
104 /ords/wwv_flow.ajax,1,144,144,144,"0,00","0,000%","6,94444","2,09","15,18","308,0"
105 /ords/wwv_flow.ajax,1,130,130,130,"0,00","0,000%","7,69231","13,99","15,83","1862,0"
106 /ords/wwv_flow.ajax,1,129,129,129,"0,00","0,000%","7,75194","14,10","15,53","1862,0"
111 /ords/f,1,2477,2477,2477,"0,00","0,000%",",40371","67,66","0,32","171612,0"
113 /ords/wwv_flow.ajax,1,129,129,129,"0,00","0,000%","7,75194","13,99","17,17","1848,0"
114 /ords/wwv_flow.ajax,1,161,161,161,"0,00","0,000%","6,21118","1,57","6,56","259,0"
115 /ords/wwv_flow.ajax,1,459,459,459,"0,00","0,000%","2,17865","5,23","4,98","2458,0"
116 /ords/wwv_flow.ajax,1,103,103,103,"0,00","0,000%","9,70874","2,82","22,12","297,0"
117 /ords/wwv_flow.ajax,1,296,296,296,"0,00","0,000%","3,37838","19,15","3,57","5803,0"
118 /ords/wwv_flow.ajax,1,590,590,590,"0,00","0,000%","1,69492","4,07","3,86","2460,0"
119 /ords/wwv_flow.ajax,1,439,439,439,"0,00","0,000%","2,27790","9,29","5,65","4176,0"
120 /ords/wwv_flow.ajax,1,411,411,411,"0,00","0,000%","2,43309","3,47","5,55","1460,0"
121 /ords/wwv_flow.ajax,1,134,134,134,"0,00","0,000%","7,46269","2,28","7,88","313,0"
122 /ords/wwv_flow.ajax,1,89,89,89,"0,00","0,000%","11,23596","3,45","23,92","314,0"
123 /ords/wwv_flow.ajax,1,2131,2131,2131,"0,00","0,000%",",46926","10,80","1,23","23569,0"
124 /ords/wwv_flow.ajax,1,411,411,411,"0,00","0,000%","2,43309","3,48","5,56","1464,0"
125 /ords/wwv_flow.ajax,1,119,119,119,"0,00","0,000%","8,40336","2,57","18,05","313,0"
126 /ords/wwv_flow.ajax,1,138,138,138,"0,00","0,000%","7,24638","2,21","15,56","313,0"
127 /ords/wwv_flow.ajax,1,92,92,92,"0,00","0,000%","10,86957","3,32","23,34","313,0"
128 /ords/wwv_flow.ajax,1,82,82,82,"0,00","0,000%","12,19512","12,17","12,87","1022,0"
129 /ords/wwv_flow.ajax,1,76,76,76,"0,00","0,000%","13,15789","2,40","14,20","187,0"
130 /ords/wwv_flow.ajax,1,708,708,708,"0,00","0,000%","1,41243","13,34","3,11","9671,0"
131 /ords/wwv_flow.ajax,1,353,353,353,"0,00","0,000%","2,83286","0,58","6,17","210,0"
132 /ords/wwv_flow.ajax,1,408,408,408,"0,00","0,000%","2,45098","0,51","5,33","211,0"
133 /ords/f,1,142,142,142,"0,00","0,000%","7,04225","9,76","10,48","1419,0"
134 /ords/f,1,138,138,138,"0,00","0,000%","7,24638","69,78","10,77","9861,0"
135 /ords/f,1,137,137,137,"0,00","0,000%","7,29927","70,29","10,85","9861,0"
136 /ords/f,1,137,137,137,"0,00","0,000%","7,29927","70,29","10,85","9861,0"
137 /ords/f,1,155,155,155,"0,00","0,000%","6,45161","62,13","9,59","9861,0"
139 /ords/f,1,140,140,140,"0,00","0,000%","7,14286","68,78","10,62","9861,0"
145 /ords/f,1,2340,2340,2340,"0,00","0,000%",",42735","43,42","0,40","104049,0"
151 /ords/wwv_flow.ajax,1,298,298,298,"0,00","0,000%","3,35570","6,09","3,95","1857,0"
152 /ords/wwv_flow.ajax,1,83,83,83,"0,00","0,000%","12,04819","19,48","14,18","1656,0"
153 /ords/wwv_flow.ajax,1,203,203,203,"0,00","0,000%","4,92611","6,88","11,55","1431,0"
154 /ords/wwv_flow.ajax,1,441,441,441,"0,00","0,000%","2,26757","11,97","2,67","5405,0"
155 /ords/wwv_flow.ajax,1,97,97,97,"0,00","0,000%","10,30928","3,44","22,49","342,0"
156 /ords/wwv_flow.ajax,1,88,88,88,"0,00","0,000%","11,36364","3,68","13,37","332,0"
157 /ords/wwv_flow.ajax,1,100,100,100,"0,00","0,000%","10,00000","3,57","23,47","366,0"
158 /ords/wwv_flow.ajax,1,69,69,69,"0,00","0,000%","14,49275","4,02","33,97","284,0"
159 /ords/wwv_flow.ajax,1,94,94,94,"0,00","0,000%","10,63830","3,80","24,96","366,0"
160 /ords/wwv_flow.ajax,1,98,98,98,"0,00","0,000%","10,20408","3,67","25,66","368,0"
161 /ords/wwv_flow.ajax,1,91,91,91,"0,00","0,000%","10,98901","4,22","25,79","393,0"
162 /ords/wwv_flow.ajax,1,94,94,94,"0,00","0,000%","10,63830","3,76","24,98","362,0"
163 /ords/wwv_flow.ajax,1,72,72,72,"0,00","0,000%","13,88889","4,86","32,55","358,0"
164 /ords/wwv_flow.ajax,1,89,89,89,"0,00","0,000%","11,23596","3,97","26,38","362,0"
165 /ords/wwv_flow.ajax,1,101,101,101,"0,00","0,000%","9,90099","3,52","24,92","364,0"
